country,date,GDP growth,Unemployment_TLF,Unemployment_AEF,Unemployment_AEM,Unemployment_AET
Japan,2011-01-01,0.0238095237748297,4.52,,,
Japan,2010-01-01,4.09791791930137,5.1,3.9300000667572,4.03000020980835,3.99000000953674
Japan,2009-01-01,-5.69323635882266,5.1,4.01000022888184,3.73000001907349,3.88000011444092
Japan,2008-01-01,-1.22428900072828,4.0,3.50999999046326,3.00999999046326,3.22000002861023
Japan,2007-01-01,1.48396941163492,3.9,3.46000003814697,3.04999995231628,3.22000002861023
Japan,2006-01-01,1.37235012762038,4.1,3.26999998092651,3.38000011444092,3.33999991416931
Japan,2005-01-01,1.80390087227372,4.4,3.99000000953674,3.13000011444092,3.48000001907349
Japan,2004-01-01,2.1861156944216,4.7,,,
Japan,2003-01-01,1.53512549928013,5.3,4.48999977111816,3.89000010490417,4.17000007629395
Japan,2002-01-01,0.0419624993125609,5.4,4.82999992370605,3.85999989509583,4.25
Japan,2001-01-01,0.386103426145752,5.0,,,
Japan,2000-01-01,2.76464755143648,4.7,,,
Japan,1999-01-01,-0.333929957747415,4.7,,,
Japan,1998-01-01,-1.27033049463975,4.1,,,
Japan,1997-01-01,0.981228732132223,3.4,,,
Japan,1996-01-01,3.13387099280445,3.4,,,
Japan,1995-01-01,2.63099961644897,3.2,,,
Japan,1994-01-01,0.993066363320281,2.9,,,
Japan,1993-01-01,-0.517919847381819,2.5,,,
Japan,1992-01-01,0.848069581298176,2.2,,,
Japan,1991-01-01,3.41749676189021,2.1,,,
Japan,1990-01-01,4.89271306566152,,,,
Japan,1989-01-01,4.8580376863886,,,,
Japan,1988-01-01,6.78502010946997,,,,
Japan,1987-01-01,4.73066586028676,,,,
Japan,1986-01-01,3.3265256163332,,,,
Japan,1985-01-01,5.23338094685275,,,,
Japan,1984-01-01,4.50199481602516,,,,
Japan,1983-01-01,3.52304498516152,,,,
Japan,1982-01-01,3.31245673735071,,,,
Japan,1981-01-01,4.2093364651236,,,,
Japan,1980-01-01,2.81759120757519,,,,
Japan,1979-01-01,5.48404183260081,,,,
Japan,1978-01-01,5.27194150313748,,,,
Japan,1977-01-01,4.39033795005604,,,,
Japan,1976-01-01,3.97498409116889,,,,
Japan,1975-01-01,3.09157591620428,,,,
Japan,1974-01-01,-1.22523982747829,,,,
Japan,1973-01-01,8.03259997466388,,,,
Japan,1972-01-01,8.41354725479262,,,,
